,method,step,range,host,mean,std
7,CF4,1e-10,"(0.1,0.15)",host#053336e2,1.0980799602933188e-16,0.005237694951875887
127,CF4,1e-10,"(0.1,0.15)",host#2a9a8c7d,2.7265516233665467e-16,0.015007861562097755
247,CF4,1e-10,"(0.1,0.15)",host#2ea82f5c,-1.3706483864561748e-16,0.022911147420905352
367,CF4,1e-10,"(0.1,0.15)",host#b1a00ec8,1.057313958607864e-16,0.012460679407385926
487,CF4,1e-10,"(0.1,0.15)",host#b9ec88ad,-7.971054372113429e-17,0.028756024908511986
607,CF4,1e-10,"(0.1,0.15)",host#e0324c47,-1.5178830414797062e-17,0.029703630163994073
727,CF4,1e-10,"(0.1,0.15)",host#e739d7ed,-1.609823385706477e-16,0.02716093068301517
847,CF4,1e-10,"(0.1,0.15)",host#ea9ebc36,-1.613726513527425e-16,0.010175093215442138
967,CF4,1e-10,"(0.1,0.15)",host#fe823726,1.6132928326584307e-17,0.026383322068505348
47,CF4,1e-10,"(0.1,0.2)",host#053336e2,6.540991706605048e-17,0.00608563699529446
167,CF4,1e-10,"(0.1,0.2)",host#2a9a8c7d,1.5334955527634976e-16,0.01623270318508088
287,CF4,1e-10,"(0.1,0.2)",host#2ea82f5c,5.204170427930421e-19,0.015008359958472653
407,CF4,1e-10,"(0.1,0.2)",host#b1a00ec8,2.095545958979983e-16,0.012776421305467356
527,CF4,1e-10,"(0.1,0.2)",host#b9ec88ad,-8.049116928532385e-17,0.03138361767518545
647,CF4,1e-10,"(0.1,0.2)",host#e0324c47,3.4694469519536144e-19,0.031435603233188246
767,CF4,1e-10,"(0.1,0.2)",host#e739d7ed,3.2265856653168614e-17,0.017350866292941223
887,CF4,1e-10,"(0.1,0.2)",host#ea9ebc36,-9.729630295884917e-17,0.012490867273323365
1007,CF4,1e-10,"(0.1,0.2)",host#fe823726,4.831204880595408e-17,0.015354967960845454
87,CF4,1e-10,"(0.1,0.3)",host#053336e2,2.1875134082610658e-17,0.0039581556833067485
207,CF4,1e-10,"(0.1,0.3)",host#2a9a8c7d,6.544244313122505e-17,0.013729582626202708
327,CF4,1e-10,"(0.1,0.3)",host#2ea82f5c,-4.649058915617843e-17,0.022155414205519024
447,CF4,1e-10,"(0.1,0.3)",host#b1a00ec8,-4.254409324833119e-17,0.013281767762591865
567,CF4,1e-10,"(0.1,0.3)",host#b9ec88ad,1.2628786905111155e-16,0.07955639398239658
687,CF4,1e-10,"(0.1,0.3)",host#e0324c47,-4.753142324176451e-17,0.014017123529907572
807,CF4,1e-10,"(0.1,0.3)",host#e739d7ed,-4.844215306665234e-17,0.01194875572642987
927,CF4,1e-10,"(0.1,0.3)",host#ea9ebc36,4.926614671774132e-17,0.0656774483174837
1047,CF4,1e-10,"(0.1,0.3)",host#fe823726,4.85722573273506e-17,0.031556313902120284
6,CF4,1e-09,"(0.1,0.15)",host#053336e2,5.551115123125783e-17,0.05189165552009001
126,CF4,1e-09,"(0.1,0.15)",host#2a9a8c7d,2.693158196453993e-17,0.03167847527910597
246,CF4,1e-09,"(0.1,0.15)",host#2ea82f5c,-5.741934705483232e-17,0.025070392771124033
366,CF4,1e-09,"(0.1,0.15)",host#b1a00ec8,2.6107588313450948e-17,0.024618190295113012
